Dog_ID,Date1,Date2,Date3,Date4,EDF1,EDF2,EDF3,EDF4,Cal_tar1,Cal_tar2,Cal_tar3,Cal_tar4,Name,Breed,sex,neutered,birth_date,age,condition_first,target
3,06/05/2021,19/05/2021,15/06/2021,01/07/2021,Beny_1,Beny_2,Beny_3,Beny_4,w_fly32,w_fly32,w_minion32,w_fly32,Beny,Mix,m,yes,28/04/2019,24,hand,frog
4,29/04/2021,07/05/2021,14/05/2021,21/05/2021,George_1,George_2,George_3,George_4,w_fly64,w_calibug32,w_calibug32,w_minion32,George4,Collie,m,no,12/04/2019,24,claw,frog
5,19/05/2021,25.05.2021/02.06.2021,10/06/2021,23/06/2021,Ace_1,Ace_2/4,Ace_5,Ace_6,w_minion32,w_minion32/w_cuckoo32,w_cuckoo32,w_cuckoo32,Ace3,Border Collie,m,yes,15/03/2019,26,hand,duck
6,05/05/2021,17/05/2021,21/05/2021,01/06/2021,Georgia1,Georgia2,Georgia3,Georgia4,w_cuckoo32,w_minion32,w_minion32,w_minion64,Georgia,Labrador Retriever,f,yes,29/12/2017,40,hand,frog
7,03/05/2021,13/05/2021,20/05/2021,31/05/2021,Timo_1,Timo_2,Timo_3,Timo_4,w_fly32 (w_bluecross32?),w_minion32,w_minion32,w_cuckoo32,Timo2,Mix,m,no,01/02/2019,27,claw,duck
8,29/04/2021,07/05/2021,14/05/2021,28/05/2021,Melody_1,Melody_2,Melody_3,Melody_4,w_cuckoo32,w_cuckoo32,w_cuckoo32,w_calibug32,Melody,Labrador Retriever,f,yes,14/08/2018,32,hand,duck
9,06/05/2021,14/05/2021,20/05/2021,27/05/2021,Hetti_1,Hetti_2,Hetti_3,Hetti_4,w_fly32,w_fly32,w_fly32,w_minion32,Hetti,Mix,f,no,10/01/2019,27,claw,frog
10,12/05/2021,17/05/2021,26/05/2021,31/05/2021,Lilly_1,Lilly_2,Lilly_3,Lilly_4,w_fly32,w_minion32,w_minion32,w_minion32,Lilly9,Mix,f,yes,07/09/2017,44,claw,duck
11,07/05/2021,14/05/2021,21/05/2021,27/05/2021,Dawin_1,Dawin_2,Dawin_3,Dawin_4,w_minion32,w_hand64,w_mouse64,w_minion64,Dawin,Border Collie,m,no,01/02/2016,63,claw,frog
12,26/04/2021,05/05/2021,10/05/2021,12/05/2021,Maylo_1,Maylo_2,Maylo_3,Maylo_4,w_fly64,w_fly64,w_fly32,w_fly32,Maylo,Mix,m,yes,13/11/2015,65,hand,duck
13,05/05/2021,12/05/2021,19/05/2021,27/05/2021,Asta_1,Asta_2,Asta_3,Asta_4,w_cuckoo64,w_calibug64,w_mouse32,w_fly64,Asta2,Border Collie,f,no,05/10/2018,31,hand,frog
15,04/05/2021,11/05/2021,25/05/2021,01/06/2021,Joker_1,Joker_2,Joker_3,Joker_4,w_minion64,w_fly32,w_minion64,w_minion32,Joker4,Australian Shepherd,m,no,18/08/2016,56,hand,frog
16,06/05/2021,10/05/2021,14/05/2021,28/05/2021,Zserbo_1,Zserbo_2,Zserbo_3,Zserbo_4,w_fly32,w_fly64,w_fly32,w_fly32,Zserbo,Small Münsterländer,m,no,24/12/2019,16,claw,duck
