Dog_ID,Date1,Date1_multiple_dates,Date2,Date3,Date4,EDF1,EDF2,EDF3,EDF4,Name,Breed,sex,neutered,birth_date,age,condition_first,agent_target_side_first,notes
02,23/06/2022,23/06/2022,30/06/2022,07/07/2022,06/09/2022,George_1,George_2,George_3,George_4/George_5,George4,collie,m,no,12/04/2019,38,new_side,inanimate_ball_right,"Session 4: George_4: he did not look at the fixation trigger between the videos, so trial aborted and repeated in George_5"
03,28/06/2022,28/06/2022,05/07/2022,26/07/2022,09/08/2022,Georgia1,Georgia2,Georgia3,Georgia4,Georgia,labrador_retriever,f,yes,29/12/2017,53,new_side,animate_elephant_left,"Session 2: Georgia stared a lot, there was no noise or distraction, it seemed like she was looking into the ""Narrenkastl"""
04,21/06/2022,21.06.2022/11.08.2022,21/07/2022,01/08/2022,08/08/2022,Timo_1/Timo_5,Timo_2,Timo_3,Timo_4,Timo2,mix,m,yes,01/02/2019,40,new_goal,animate_ball_right,Timo_5: Session 1: repeated after 4th session
05,19/07/2022,19/07/2022,09/09/2022,16/09/2022,20/09/2022,Melody_1/Melody_2,Melody_3,Melody_4,Melody_7,Melody,labrador_retriever,f,yes,14/08/2018,47,new_goal,inanimate_ball_left,"Melody_1: trial aborted, she left the chin rest 1 sec before the fixation trigger for the 2nd video; Melody_2: repeated 1st session; Session 4: Melody_5/6: she left the chin rest before the second video, so trial repeated and succeeded in Melody_7"
06,21/07/2022,21/07/2022,28/07/2022,04/08/2022,11/08/2022,Hetti_1,Hetti_2,Hetti_3,Hetti_4,Hetti,mix,f,no,10/01/2019,42,new_side,animate_elephant_right,"Session 3: she lifted her head for 2 seconds, but got back into position right away"
07,26/09/2022,26/09/2022,30/09/2022,13/10/2022,18/10/2022,Lilly_1,Lilly_2,Lilly_3,Lilly_4,Lilly9,mix,f,yes,07/09/2017,60,new_goal,inanimate_elephant_right,
08,23/06/2022,23/06/2022,30/06/2022,07/07/2022,28/07/2022,Maylo_1,Maylo_2,Maylo_3,Maylo_4,Maylo,mix,m,yes,13/11/2015,79,new_side,inanimate_elephant_left,"Session 3: he looked for a few seconds on the right side off screen in the second video after the fixation trigger, but then looked back at the screen"
09,20/06/2022,20/06/2022,29/06/2022,07/07/2022,27/07/2022,Asta_1,Asta_2,Asta_3,Asta_4,Asta2,border_collie,f,no,05/10/2018,44,new_side,animate_ball_left,Session 1: unfortunately someone made noise in the storage room although I had the red light switched on (still Asta did a good job and was not too distracted - but you can see at the times when she was looking outside of the screen that was because of the noise)
10,28/06/2022,28.06.2022/09.08.2022,05/07/2022,19/07/2022,26/07/2022,Joker_1/Joker_5,Joker_2,Joker_3,Joker_4,Joker4,australian_shepherd,m,no,18/08/2016,70,new_goal,inanimate_ball_right,Joker_5: Session 1: repeated after 4th session
11,05/09/2022,05/09/2022,09/09/2022,21/10/2022,31/10/2022,Zserbo_1,Zserbo_2,Zserbo_3,Zserbo_4,Zserbo,small_münsterländer,m,yes,24/12/2019,32,new_side,animate_ball_right,
12,20/07/2022,20/07/2022,28/07/2022,04/08/2022,08/09/2022,Ace_1,Ace_2,Ace_3,Ace_4,Ace3,border_collie,m,yes,15/03/2019,40,new_goal,animate_elephant_left,
14,04/07/2022,04/07/2022,07/07/2022,18/07/2022,27/07/2022,Knopfi_1,Knopfi_2,Knopfi_3,Knopfi_4,Knopfi,australian_shepherd,m,yes,26/09/2016,69,new_side,inanimate_ball_left,
16,23/09/2022,23/09/2022,27/09/2022,12/10/2022,15/10/2022,Juna_1,Juna_2,Juna_3,Juna_4,Juna,flat_coated_retriever,f,no,06/02/2016,79,new_goal,inanimate_elephant_left,Juna_2: unfortunately at the end of video eye-tracker lost pupil because of her third eye-lid
18,26/08/2022,26/08/2022,29/08/2022,09/09/2022,28/09/2022,Lenny_1,Lenny_2,Lenny_3,Lenny_4,Lenny4,canarian_warren_hound,m,yes,15/07/2014,97,new_goal,inanimate_ball_right,
19,06/07/2022,06/07/2022,27/07/2022,31.08.2022/12.09.2022,28/09/2022,Amy_1,Amy_2,Amy_3/Amy_4,Amy_5,Amy8,border_collie,f,no,12/03/2010,147,new_side,inanimate_ball_left,"Amy_2: She moved her had at the very end and the eyetracker couldn´t get her; Amy_3 she moved her head bc dogs were barking outside - unforuntately I´m not sure when, think it was bevor the 3. Trigger so I had to stopp because the eyetracker lost her"
20,13/10/2022,13/10/2022,17/10/2022,19/10/2022,25/10/2022,Mailo_1,Mailo_2,Mailo_3,Mailo_4,Mailo,mix,m,yes,09/07/2015,87,new_goal,animate_elephant_right,
22,05/10/2022,05/10/2022,12/10/2022,13.10.2022/16.12.2022,17.10.2022/28.11.2022,Mia_1,Mia_2,Mia_3/Mia_6,Mia_4/Mia_5,Mia11,mix,f,no,01/10/2018,48,new_side,animate_elephant_left,"Mia_3: She was very tied today, I think she unfortunately sat down during testing (she was sitting when I rewarded her); Mia_5: to be ignored, was repeated by accident instead of session 3"
24,12/08/2022,12/08/2022,08/09/2022,16/09/2022,20/09/2022,Milo_1,Milo_2,Milo_3,Milo_4,Milo7,australian_shepherd,m,no,20/04/2019,39,new_goal,animate_ball_right,
25,08/09/2022,08/09/2022,15/09/2022,20/09/2022,19/10/2022,Edgar_1,Edgar_2,Edgar_3,Edgar_4,Edgar3,mix,m,yes,01/06/2019,39,new_side,animate_ball_left,
